HEIGHT,DIAMETER,ELEVATION,CANOPYHEIGHT
3,3.5,1025,15
2.8,2.8,1025,13.6
5.1,6,1025,13.6
2,1.9,1025,13.6
3.2,3.5,1025,13.6
2.9,3.5,1025,5.4
3,3.5,1025,13.6
4,4.6,1025,13.6
1.6,1.4,1025,14.1
2.5,2.2,1025,14.1
2.5,2.5,1025,14.1
3.1,3.4,1025,13.6
1.7,1.1,1025,5.4
2.7,3,1025,5.4
3.2,3.2,1025,13.6
2.4,3.1,1025,15
2.7,2.3,1025,15
2.4,2,1025,13.6
1.7,1,1025,15
4.2,4.6,1025,11.5
2,1.7,1025,13
1.7,0.8,1025,14.1
3.3,3.1,1025,15
1.5,0.7,1025,15
1.5,0.5,1025,15
3.6,4.2,1025,15
1.6,2.5,1025,15
2.7,2.5,1025,15
2.8,2.6,1025,15
1.9,2.2,1025,15
3.9,4.6,1025,15
3.4,3.4,1025,14.1
1.9,1.4,1025,14.1
1.6,0.8,1025,15
1.9,2.2,1025,15
2.5,1.9,1025,14.1
2,1.4,1025,15
2.5,2,1025,14.1
2.5,2.5,1025,15
1.9,1.2,1025,15
1.3,0.6,1025,15
3,2.9,1025,15
4.3,5.1,1025,15
3.9,4.1,1025,15
4.1,4.4,1025,15
3,2.7,1025,15
1.4,0.6,1025,6.1
3.4,3.5,1025,6.1
2.9,3,1025,14.1
1.6,1.3,1025,6.1
1.7,1.3,1025,6.1
4.6,4.6,1025,5.4
2.8,3,1025,6.1
3,2.9,1025,13
3.4,3.1,1025,13
1.7,0.8,1025,13
1.8,1.3,1025,13
1.7,1.5,1025,13
2,0.9,1025,13
2.5,4.5,1025,13
3.3,3.7,1025,13
1.8,1.7,1025,5.4
2.8,3.4,1025,13
2.4,2.1,1025,14.1
2.3,2.9,1025,15
2.3,3.5,1025,15
2.4,2.2,1025,15
1.6,1.3,1025,15
2.6,2.6,1025,15
2.5,2.3,1025,15
2.6,3,1025,13.6
2,2,1025,13.6
3.5,3.4,1025,13.6
1.4,2.4,1025,6.1
1.6,1.1,1025,13.6
3.7,4.2,1025,11.5
2,1.5,1025,11.5
2.2,1.7,1025,13.6
2.1,1.8,1025,11.5
1.9,1,1025,15
2.8,2.8,1025,14.1
3.3,3.1,1025,14.1
3.9,4.7,1025,13.6
5.3,5.8,1025,13.6
1.6,1.8,1025,15
3,3.3,1025,14.1
1.8,1.1,1025,15
1.5,0.9,1025,15
1.4,0.6,1025,15
1.3,0.9,1025,15
1.4,0.6,1025,15
1.9,2.6,1025,14.1
1.4,0.6,1025,13
1.5,0.8,1025,15
1.6,0.8,1025,14.1
2,1.4,1025,15
1.4,0.7,1025,15
1.4,0.9,1025,15
1.5,0.8,1025,15
2,1.8,1025,15
2.3,1.5,1025,15
1.2,0.6,1025,15
1.3,0.7,1025,13.6
1.5,0.8,1025,5.4
1.5,0.8,1025,15
1.4,0.6,1025,15
1.7,0.6,1025,13
1.5,0.6,1025,15
1.4,0.3,1025,14.1
2.2,0.4,1025,14.1
1.9,1.3,1025,15
10.7,11.7,1025,13.6
4.5,7,1025,13.6
13.2,16.5,1025,15
10.9,11.1,1025,13.2
12.1,15.7,1025,13.2
1.6,1.1,1025,15
3.3,2.9,1025,15
1.9,1,1025,15
1.9,1,1025,15
3.2,3.1,1025,15
2.4,2.2,1025,15
14.8,24.8,1025,14.8
6.3,7.8,1025,14.8
4.6,6.2,1025,14.1
11.3,14.3,1025,15
7.4,10.9,1025,15.9
15,15.4,1025,15.9
7.9,9.5,1025,15
15.9,25.9,1025,15.9
7.8,11.7,1025,15
8.7,10.7,1025,14.9
4.7,6,1025,15.9
5.4,7.2,1025,15.9
5.1,6.3,1025,15.9
7.7,12.6,1025,12.4
8.3,11.6,1025,13
4.9,7.1,1025,14.9
9.7,14.4,1025,16.9
4.7,7.5,1025,16.9
9.9,12.5,1025,13
10.6,13.3,1025,16.9
9.4,11.5,1025,13
6.5,9.4,1025,16.9
7.2,12.1,1025,12.4
4.2,5.8,1025,13
4.3,6,1025,12.4
4,5.7,1025,16.9
3.5,5.4,1025,10.4
3.9,6.3,1025,12.4
13.4,16,1011,15.2
11.3,10.3,1011,15.2
6.5,7.3,1011,15.7
15.2,23.2,1011,15.2
16,18.4,1011,16
14.1,13.6,1011,14.1
6.7,10.2,1011,12.2
8.6,11.1,1011,15.1
8.2,10.8,1011,11.2
